latitude,longitude,runners,trees,pedestrians
42.297,-71.099,1073.0,2.0,0.0
42.368,-71.059,2022.0,0.0,380.0
42.386,-71.079,29.0,0.0,810.0
42.364,-71.118,3262.0,45.0,5748.0
42.251,-71.121,519.0,10.0,0.0
42.301,-71.287,6.0,0.0,0.0
42.374,-71.131,132.0,0.0,0.0
42.363,-71.128,82.0,5.0,0.0
42.589,-71.262,2.0,0.0,0.0
42.362,-71.118,2848.0,9.0,3832.0
42.373,-71.091,67.0,0.0,810.0
42.297,-71.118,8.0,2.0,0.0
42.265,-71.138,50.0,6.0,0.0
42.33,-71.039,677.0,11.0,36.0
42.344,-71.095,1036.0,27.0,4640.0
42.413,-71.15,16.0,0.0,0.0
42.376,-71.121,1.0,0.0,3390.0
42.321,-71.119,15.0,12.0,2556.0
42.399,-71.12,23.0,0.0,1106.0
42.376,-71.127,6.0,0.0,0.0
42.405,-71.141,24.0,0.0,0.0
42.332,-71.203,21.0,0.0,0.0
42.355,-71.118,4198.0,34.0,5748.0
42.424,-71.01,14.0,0.0,0.0
42.362,-71.14,5.0,16.0,0.0
42.322,-71.048,6.0,6.0,54.0
42.329,-71.036,658.0,9.0,18.0
42.326,-71.118,6.0,0.0,1872.0
42.397,-71.137,38.0,0.0,0.0
42.355,-71.053,766.0,32.0,108.0
42.353,-71.076,1145.0,40.0,252.0
42.338,-71.136,79.0,0.0,0.0
42.374,-71.083,71.0,0.0,540.0
42.3,-71.116,30.0,23.0,0.0
42.374,-71.128,226.0,0.0,0.0
42.291,-71.105,73.0,46.0,0.0
42.339,-71.159,3.0,33.0,0.0
42.399,-71.125,245.0,0.0,0.0
42.39,-71.121,159.0,0.0,1273.0
42.29,-71.109,278.0,26.0,0.0
42.345,-71.087,125.0,18.0,488.0
42.267,-71.076,12.0,0.0,0.0
42.573,-71.22,2.0,0.0,0.0
42.334,-71.04,2.0,41.0,54.0
42.341,-71.275,18.0,0.0,0.0
42.383,-71.075,17.0,8.0,810.0
42.456,-70.974,5.0,0.0,0.0
42.22,-71.028,1.0,0.0,0.0
42.367,-71.077,12.0,0.0,810.0
42.342,-71.057,82.0,7.0,36.0
42.336,-71.035,342.0,24.0,36.0
42.339,-71.021,3.0,3.0,92.0
42.336,-71.151,53.0,12.0,0.0
42.386,-71.113,74.0,0.0,4467.0
42.333,-71.168,13.0,7.0,0.0
42.364,-71.103,43.0,0.0,9741.0
42.393,-71.112,39.0,0.0,1303.0
42.378,-71.06,10.0,6.0,190.0
42.358,-71.128,62.0,33.0,0.0
42.294,-71.099,5.0,64.0,0.0
42.368,-71.095,22.0,0.0,5172.0
42.296,-71.215,1.0,0.0,0.0
42.354,-71.074,499.0,12.0,176.0
42.389,-71.126,10.0,0.0,0.0
42.37,-71.08,8.0,0.0,810.0
42.289,-71.134,4.0,1.0,0.0
42.325,-71.2,1.0,0.0,0.0
42.335,-71.268,34.0,0.0,0.0
42.368,-71.118,62.0,0.0,3832.0
42.409,-71.054,16.0,0.0,0.0
42.364,-71.059,1748.0,33.0,411.0
42.407,-71.143,17.0,0.0,0.0
42.332,-71.182,14.0,0.0,0.0
