latitude,longitude,frequency,logFreq
42.3505,-71.1114,13464,4.129174103
42.3505,-71.1109,13464,4.129174103
42.351,-71.1109,13464,4.129174103
42.3505,-71.1104,13464,4.129174103
42.351,-71.1114,12595,4.100198172
42.351,-71.1104,12120,4.08350262
42.351,-71.1004,11867,4.074340942
42.351,-71.0994,11867,4.074340942
42.3515,-71.0999,11867,4.074340942
42.3515,-71.1004,11867,4.074340942
42.351,-71.0999,11867,4.074340942
42.35,-71.1109,11744,4.069816043
42.3505,-71.0999,11047,4.043244354
42.3515,-71.0994,10631,4.026574118
42.3615,-71.0724,10289,4.012373167
42.361,-71.0729,10289,4.012373167
42.361,-71.0724,10289,4.012373167
42.361,-71.0734,10289,4.012373167
42.3615,-71.0729,10289,4.012373167
42.3615,-71.0734,10289,4.012373167
42.35,-71.1114,9642,3.984167127
42.35,-71.1104,9481,3.976854147
42.3505,-71.1004,9470,3.976349979
42.3605,-71.0729,8842,3.946550511
42.3505,-71.0994,8785,3.943741766
42.352,-71.0999,8624,3.935708748
42.362,-71.0729,8606,3.934801342
42.3515,-71.1114,8241,3.915979914
42.351,-71.1009,8052,3.905903766
42.3505,-71.1119,8043,3.905418069
42.3505,-71.1099,7950,3.900367129
42.352,-71.1004,7898,3.897517129
42.3605,-71.0724,7800,3.892094603
42.351,-71.1119,7728,3.888067113
42.3515,-71.1009,7681,3.885417765
42.351,-71.1099,7678,3.885248108
42.3605,-71.0734,7575,3.879382637
42.362,-71.0724,7563,3.8786941
42.352,-71.0994,7529,3.876737297
42.351,-71.0989,7362,3.866995813
42.361,-71.0719,7301,3.863382348
42.3495,-71.1109,7175,3.855821905
42.3615,-71.0719,7157,3.854731017
42.352,-71.0904,7095,3.8509524
42.352,-71.0894,7095,3.8509524
42.3515,-71.0899,7095,3.8509524
42.3525,-71.0899,7095,3.8509524
42.3525,-71.0904,7095,3.8509524
42.3515,-71.0904,7095,3.8509524
42.352,-71.0899,7095,3.8509524
42.3515,-71.0989,7089,3.850584976
42.3505,-71.1009,7022,3.846460825
42.35,-71.0999,7016,3.84608958
42.35,-71.1119,6971,3.843295083
42.35,-71.1099,6971,3.843295083
42.352,-71.0909,6849,3.835627166
42.3525,-71.0894,6779,3.831165634
42.3495,-71.1104,6689,3.825361196
42.3495,-71.1114,6680,3.824776462
42.35,-71.1004,6662,3.823604628
42.3505,-71.0989,6642,3.822298871
42.35,-71.0994,6512,3.813714392
42.3515,-71.1119,6471,3.8109714
42.3515,-71.0894,6453,3.809761665
42.352,-71.1009,6414,3.807128956
42.352,-71.0989,6122,3.786893325
42.3525,-71.0999,6092,3.784759895
42.362,-71.0719,6028,3.780173244
42.3515,-71.0909,6005,3.778513012
42.36,-71.0729,5929,3.77298145
42.351,-71.1014,5890,3.770115295
