latitude,longitude,frequency
42.3645,-71.0665,20
42.364,-71.0665,20
42.3375,-71.0965,20
42.311,-71.062,20
42.2825,-71.0445,20
42.3715,-71.065,20
42.3695,-71.0275,20
42.3545,-71.1405,20
42.3115,-71.0625,20
42.3105,-71.066,20
42.332,-71.079,20
42.3485,-71.0405,20
42.2715,-71.0605,20
42.3725,-71.1325,20
42.3465,-71.0415,20
42.2715,-71.06,20
42.364,-71.066,20
42.2795,-71.0535,20
42.3595,-71.124,20
42.311,-71.0505,20
42.281,-71.0425,20
42.296,-71.1725,20
42.37,-71.0275,20
42.3595,-71.1435,20
42.3715,-71.0645,20
42.36,-71.1275,20
42.2955,-71.1725,20
42.353,-71.118,20
42.348,-71.0405,20
42.311,-71.0615,20
42.31,-70.955,20
42.352,-71.1165,20
42.3445,-71.0265,20
42.3365,-71.1535,20
42.2835,-71.0435,20
42.2805,-71.067,20
42.3605,-71.1275,20
42.3365,-71.153,20
42.26,-71.1225,20
42.389,-71,20
42.352,-71.116,20
42.288,-71.039,20
42.304,-71.0855,20
42.3375,-71.097,20
42.371,-71.0655,20
42.349,-71.042,20
42.3615,-71.1405,20
42.358,-71.124,20
42.348,-71.173,20
42.342,-71.105,20
42.2805,-71.107,20
42.356,-71.1365,20
42.3325,-71.079,20
42.3365,-71.0975,20
42.311,-71.05,20
42.353,-71.1185,20
42.2945,-71.172,20
42.2365,-71.1265,20
42.324,-71.087,20
42.361,-71.143,20
42.333,-71.0785,20
42.3615,-71.136,20
42.2955,-71.172,20
42.298,-71.047,20
42.351,-71.105,20
42.28,-71.1855,20
42.3615,-71.1295,20
42.3545,-71.132,20
42.3175,-71.0515,20
42.249,-71.125,20
42.366,-71.023,20
42.3665,-71.1345,20
42.311,-71.0485,20
42.3865,-71.019,20
42.3675,-71.02,20
42.3575,-71.066,20
42.337,-71.153,20
42.3335,-71.0635,20
42.3595,-71.1355,20
42.3645,-71.066,20
42.284,-71.0435,20
42.351,-71.113,20
42.36,-71.073,20
42.333,-71.078,20
42.3535,-71.1185,20
42.361,-71.136,20
42.2815,-71.0425,20
42.3605,-71.13,20
42.3505,-71.0435,20
42.3115,-71.062,20
42.354,-71.1255,20
42.37,-71.0625,20
42.301,-71.0875,20
42.297,-71.1295,20
42.3765,-71.029,20
42.3545,-71.138,20
42.3435,-71.0845,20
42.36,-71.1415,20
42.3615,-71.1365,20
